rank,country,region,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
103,Guatemala,North America,18255216,7484639,6279794,182552,106114,90000,35000,36,0,4,10,0,0,0,21,0,5,688,0,50,0,25,,0,0,0,0,0,0,20,0,408635000,27500000000,2.23183E+11,21311000000,58,7258000,3,9,800,17440,6000,115000,86110000,3276000,2986000,0,0,1296000,0,108889,400,1667,990
104,Mali,Africa,21990607,6817088,4288168,351850,40000,0,4800,43,9,12,7,4,1,0,10,8,10,570,0,10,20,0,,0,0,0,0,0,0,0,0,650386000,4057500000,57235000000,647800000,30,8277000,0,0,593,139107,0,46000,0,0,0,0,0,0,0,1240192,0,7908,1800
105,Kyrgyzstan,Asia,6172101,3147772,2487357,117270,23000,300000,55000,7,0,0,0,0,0,0,7,2,215,2686,30,169,21,0,,0,0,0,0,0,0,0,0,221800000,6728500000,45461000000,3237000000,28,3069000,0,0,424,34000,6000,31000,40000000,31026000,438000000,5663000000,3637000,3352000,28499000000,199951,0,4573,576
106,Laos,Asia,7953556,3499565,2521277,159071,100000,30000,120000,33,0,0,2,8,0,0,23,0,160,4380,40,87,64,36,,0,0,0,0,0,0,36,0,135000000,16500000000,64173000000,1770000000,18,3174000,0,1,422,39568,0,24000,0,0,0,0,14845000,13691000,62000000,236800,0,5274,4600
107,Estonia,Europe,1193791,584958,456028,13132,7700,78800,10000,5,0,0,2,3,0,0,3,0,0,1685,36,0,0,8,,0,0,0,0,0,0,4,4,1463360000,26400000000,57377000000,2593000000,26,752000,20,72,1441,58412,24000,28000,0,0,354912000,0,0,3000,0,45228,3794,657,335
108,Tajikistan,Asia,10394063,4781269,3773045,176699,9500,600000,20000,25,0,0,1,4,0,0,20,6,38,1240,3,13,20,0,,0,0,0,0,0,0,0,0,446000000,7150000000,46467000000,2748900000,19,2677000,0,0,680,30000,300,28000,12000000,18476000,85567000,5663000000,2175000,2245000,4075000000,144100,0,4130,200
109,Zambia,Africa,20799116,7279691,4139024,374384,15150,0,1200,77,0,0,13,34,0,0,32,0,35,424,12,30,25,0,,0,0,0,0,0,0,0,0,394240000,13200000000,76493000000,2861000000,119,7051000,0,2,3126,67671,0,34000,0,0,0,0,831000,823000,944999000,752618,0,6043,0
110,Ghana,Africa,34589092,14873310,9961658,622604,15500,0,0,19,0,0,2,5,2,0,10,0,0,1824,0,6,6,28,,0,0,0,0,0,0,27,0,308500000,22550000000,2.29639E+11,3624000000,11,14887000,4,52,947,65725,174000,110000,660000000,3192000000,3912000000,22653000000,0,85000,0,238533,539,2420,1293
111,Zimbabwe,Africa,17150352,6517134,3721626,360157,29000,0,21800,95,13,0,14,40,0,0,28,6,15,828,0,0,0,0,,0,0,0,0,0,0,0,0,530800000,11000000000,58583000000,115530000,144,6561000,0,0,3427,97267,800,29000,0,0,0,0,3877000,4479000,502000000,390757,0,3229,0
112,North Macedonia,Europe,2135622,948216,783773,27763,9000,60000,3500,20,0,0,0,10,0,0,10,4,20,1108,0,150,17,0,,0,0,0,0,0,0,0,0,388421700,11000000000,42444000000,5015000000,13,801000,0,0,699,14182,0,22000,0,0,274928000,0,5075000,5776000,332000000,25713,0,838,0
113,South Sudan,Africa,12703714,6351857,4065188,330297,185000,0,0,20,0,0,5,0,0,0,15,6,30,1950,24,0,15,0,,0,0,0,0,0,0,0,0,175300000,2475000000,20010000000,183615000,82,4471000,0,0,248,90200,146000,14000,3750000000,0,0,0,0,0,0,644329,0,6018,0
114,Uganda,Africa,49283041,16756234,9905891,985661,45000,0,10000,51,6,0,0,12,0,0,30,6,259,3862,6,26,12,0,,0,0,0,0,0,0,0,0,985400000,11818000000,1.35668E+11,3506500000,39,18881000,0,0,1244,20544,0,43000,2500000000,0,0,14158000000,0,0,800000000,241038,0,2729,0
115,Lebanon,Asia,5364482,2092148,1775644,69738,60000,35000,65000,80,0,9,0,9,0,0,68,0,116,4538,12,353,11,64,,0,0,0,0,0,0,61,0,768250325,36928000000,65818000000,26498095000,8,1771000,5,51,401,21705,0,174000,0,0,0,0,0,207000,0,10400,225,484,0
116,Namibia,Africa,2803660,616805,400923,30840,13000,0,5000,34,11,0,3,14,0,0,7,2,4,2094,0,25,25,15,,0,0,0,0,0,2,12,0,370500000,8800000000,29944000000,2956000000,255,989000,2,15,2628,48875,0,25000,0,0,0,62297000000,0,32000,350000000,824292,1572,4220,0
117,Luxembourg,Europe,671254,154388,92633,3356,1000,0,0,1,0,0,1,0,0,0,0,0,0,182,0,0,0,0,,0,0,0,0,0,0,0,0,726092925,4.73E+12,88533000000,2977000000,3,352000,0,147,271,2875,0,51000,0,0,594240000,0,0,62000,0,2586,0,327,37
118,Afghanistan,Asia,40121552,15647405,8826741,842553,0,0,80000,9,0,0,3,0,0,0,6,1,0,5202,0,0,0,0,,0,0,0,0,0,0,0,0,290000000,1142500000,54772700000,8852092000,67,8921000,0,0,0,34903,0,2700,0,80200000,80200000,49554000000,4885000,1545000,66000000,652230,0,5987,1200
119,Niger,Africa,26342784,7902835,5294900,447827,25000,0,5000,26,0,2,7,0,2,0,13,1,0,456,0,0,0,0,,0,0,0,0,0,0,0,0,336400000,3844000000,44561000000,1442772000,26,10237000,0,0,0,18949,6000,13000,150000000,29509000,29858000,0,457000,457000,90000000,1267000,0,5834,300
120,Eritrea,Africa,6343956,2220385,1598677,76127,120000,130000,0,20,1,0,5,1,0,0,13,6,65,860,23,75,22,23,,0,0,0,0,0,0,18,0,198000000,635504500,9702000000,225014976,10,1800000,2,9,306,16000,0,4000,0,0,0,0,0,0,0,117600,2234,1840,0
121,Republic of the Congo,Africa,6097665,2256136,1353682,115856,8500,0,2500,13,2,0,4,0,0,0,7,1,30,644,2,38,30,4,,0,0,0,0,0,0,0,0,306400000,5741000000,38163000000,715391000,56,2461000,5,11,510,23324,267000,12000,2885000000,423000000,423000000,2.8399E+11,0,0,0,342000,169,5008,1120
122,Botswana,Africa,2450668,1029281,617568,24507,21000,0,0,45,11,0,9,9,0,0,16,0,45,1224,12,36,20,0,,0,0,0,0,0,0,0,0,465600000,1853500000,46742000000,4756000000,122,1170000,0,0,888,31747,0,21000,0,0,0,0,2634000,2291000,1660000000,581730,0,4347,0
123,Mauritania,Africa,4328040,1687936,1181555,82233,31540,66000,5000,24,0,4,7,7,2,0,4,0,25,628,0,75,0,6,,0,0,0,0,0,0,6,0,261250000,3661000000,30395000000,2629290500,25,1179000,2,11,728,12253,0,29000,20000000,0,0,28317000000,0,0,0,1030700,754,5002,1086
124,Dominican Republic,North America,10815857,4975294,4034315,97343,50000,0,30000,79,0,8,11,17,1,0,50,0,5,540,0,11,0,34,,0,0,0,0,0,0,14,0,810800000,27500000000,2.61616E+11,15547000000,32,5302000,17,40,496,19705,0,134000,0,0,2440000000,0,0,2188000,0,48320,1288,376,0
125,Senegal,Africa,18847519,7162057,4089912,395798,17000,0,0,40,0,0,5,23,1,0,20,5,0,1740,0,20,6,4,,0,0,0,0,0,0,4,0,465150000,11326000000,77382000000,889295000,19,5257000,6,36,906,16665,9000,55000,0,54646000,54498000,0,0,502000,0,196722,531,2684,1000
126,Nepal,Asia,31122387,15249970,11733140,778060,95000,0,15000,15,0,0,5,0,0,0,10,0,0,1108,0,14,0,0,,0,0,0,0,0,0,0,0,409100000,5838500000,1.4431E+11,12456000000,51,8937000,0,0,59,27990,0,62000,0,0,0,0,15000,1095000,8000000,147181,0,3159,0
127,Montenegro,Europe,599849,143964,85179,3599,2350,0,5500,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,,0,0,0,0,0,0,2,0,148100000,2958500000,17115000000,1574000000,5,286000,4,18,250,7762,0,8000,0,0,0,0,1734000,1517000,337000000,13812,294,680,0
128,El Salvador,North America,6628702,3181777,2512278,145831,25000,10000,15000,52,0,15,4,10,0,0,30,0,0,1844,0,76,0,14,,0,0,0,0,0,0,10,0,334620000,14258000000,71957000000,3799434000,27,2870000,3,5,13,9012,3,58000,0,0,226472,0,0,500,0,21041,307,590,422
129,Burkina Faso,Africa,23042199,8525614,6060098,368675,12000,0,4500,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,,0,0,0,0,0,0,0,0,81280000,3145000000,57152000000,47138000,49,8577000,0,0,622,15304,0,36000,0,0,0,0,0,0,0,274200,0,3611,0
